Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,691.0,8.0,119.0,1701.0,0.1,39.60700000000006,0.0,0.0,241.76158046722412,,,,,,,,,,,,,,,,,,,,,17.821540116825965,9.314246813197942,37.56132180839273,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,734.0,9.0,43.0,1744.0,0.1,22.80700000000002,0.0,0.0,245.95653438568115,,,,,,,,,,,,,,,,,,,,,7.2341730578901,7.5663700399441005,22.54098999751576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,767.0,10.0,33.0,1777.0,0.1,16.206000000000007,0.0,0.0,249.20734977722168,,,,,,,,,,,,,,,,,,,,,5.01344366103342,5.465188630616808,16.072685657815875,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,850.0,11.0,83.0,1860.0,0.1,35.60600000000003,0.0,0.0,256.9887351989746,,,,,,,,,,,,,,,,,,,,,14.391792788237405,9.551255217255852,34.480407533235244,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,892.0,12.0,42.0,1902.0,0.1,24.30600000000002,0.0,0.0,261.0180969238281,,,,,,,,,,,,,,,,,,,,,8.112941534319246,8.206865944014956,24.01325896022007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,917.0,13.0,25.0,1927.0,0.1,11.005999999999995,0.0,0.0,263.607301235199,,,,,,,,,,,,,,,,,,,,,3.291147307331501,3.7952330685570597,10.945601574864869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,950.0,14.0,33.0,1960.0,0.1,15.305999999999994,0.0,0.0,266.86743211746216,,,,,,,,,,,,,,,,,,,,,4.577516487962852,5.116855896100047,15.185297365330525,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1013.0,15.0,63.0,2023.0,0.1,45.706999999999994,0.0,0.0,272.7516760826111,,,,,,,,,,,,,,,,,,,,,17.7135781956225,15.08803373527913,44.68036061454426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1045.0,16.0,32.0,2055.0,0.1,15.705999999999994,0.0,0.0,276.09635281562805,,,,,,,,,,,,,,,,,,,,,4.839005327658983,5.332446228856979,15.582300848911887,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1133.0,17.0,88.0,2143.0,0.1,37.208999999999996,0.0,0.0,284.15617513656616,,,,,,,,,,,,,,,,,,,,,13.851834030167414,11.477077364581659,36.06212679681209,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1188.0,18.0,55.0,2198.0,0.1,19.711000000000045,0.0,0.0,289.3399751186371,,,,,,,,,,,,,,,,,,,,,4.679063641015451,5.971989199584772,19.49261724161013,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1271.0,19.0,83.0,2281.0,0.1,68.107,0.0,0.0,296.98442792892456,,,,,,,,,,,,,,,,,,,,,28.56412462586098,21.667822274629156,65.86784748317238,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1303.0,20.0,32.0,2313.0,0.1,16.107000000000006,0.0,0.0,300.38874769210815,,,,,,,,,,,,,,,,,,,,,4.976899095598358,5.530429242487379,15.979682614487213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,57.0,1.0,57.0,2370.0,0.1,34.708,0.0,0.0,437.2362320423126,,,,,,,,,,,,,,,,,,,,,11.563631990180053,11.643055219262965,34.11707300549773,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,110.0,2.0,53.0,2423.0,0.1,33.407,0.0,0.0,442.45267844200134,,,,,,,,,,,,,,,,,,,,,11.584166144901472,11.209390172224852,32.85872378316276,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,178.0,3.0,68.0,2491.0,0.1,46.205999999999996,0.0,0.0,448.7890646457672,,,,,,,,,,,,,,,,,,,,,18.301791049362745,14.784312733232465,45.05153622956623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,266.0,4.0,88.0,2579.0,0.1,50.008,0.0,0.0,456.8536489009857,,,,,,,,,,,,,,,,,,,,,18.164015424710172,14.736439941824763,48.50653119849132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,343.0,5.0,77.0,2656.0,0.1,63.105,0.0,0.0,464.04892468452454,,,,,,,,,,,,,,,,,,,,,26.603320724983902,20.097649815162924,61.178840806949346,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,435.0,6.0,92.0,2748.0,0.1,47.80700000000002,0.0,0.0,472.73775362968445,,,,,,,,,,,,,,,,,,,,,19.28081761877431,13.669243139186278,46.125369392488345,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,470.0,7.0,35.0,2783.0,0.1,15.405999999999993,0.0,0.0,476.2171494960785,,,,,,,,,,,,,,,,,,,,,4.5328374446273445,5.039224857508338,15.277891193934721,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,528.0,8.0,58.0,2841.0,0.1,29.30600000000001,0.0,0.0,481.65646266937256,,,,,,,,,,,,,,,,,,,,,11.68701115354414,8.620632713424767,28.68549565891662,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,564.0,9.0,36.0,2877.0,0.1,16.90600000000002,0.0,0.0,485.217116355896,,,,,,,,,,,,,,,,,,,,,5.06546677484827,5.5976530105765905,16.757140720405555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,674.0,10.0,110.0,2987.0,0.1,89.606,0.0,0.0,495.13147497177124,,,,,,,,,,,,,,,,,,,,,40.11020647252016,27.722771984566194,85.36452096543267,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,755.0,11.0,81.0,3068.0,0.1,53.208,0.0,0.0,502.80989360809326,,,,,,,,,,,,,,,,,,,,,19.4032499930548,16.688359567539678,51.73976453987781,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,787.0,12.0,32.0,3100.0,0.1,17.605000000000015,0.0,0.0,505.9988822937012,,,,,,,,,,,,,,,,,,,,,5.879065666637596,6.0291791840436,17.4517559588293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,844.0,13.0,57.0,3157.0,0.1,37.80799999999999,0.0,0.0,511.33363580703735,,,,,,,,,,,,,,,,,,,,,13.531429018039852,12.682541249297138,37.11089322152155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,1058.0,14.0,214.0,3371.0,0.1,98.70599999999988,0.0,0.0,530.2129414081573,,,,,,,,,,,,,,,,,,,,,39.521404029198834,22.660005834302627,90.4291874835311,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1142.0,15.0,84.0,3455.0,0.1,30.30800000000007,0.0,0.0,538.069586277008,,,,,,,,,,,,,,,,,,,,,7.402332117347348,8.63156998788957,29.745665687852842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1243.0,16.0,101.0,3556.0,0.1,56.707000000000015,0.0,0.0,547.1365332603455,,,,,,,,,,,,,,,,,,,,,20.538427743437964,16.67997412082716,54.74204815216897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1394.0,17.0,151.0,3707.0,0.1,71.30800000000005,0.0,0.0,560.59415102005,,,,,,,,,,,,,,,,,,,,,25.387754802183387,18.68454360645236,67.60960061650268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1465.0,18.0,71.0,3778.0,0.1,24.324000000000055,0.0,0.0,567.1078553199768,,,,,,,,,,,,,,,,,,,,,5.195500049247946,7.3037241960086465,24.003101696795287,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1526.0,19.0,61.0,3839.0,0.1,36.705999999999996,0.0,0.0,572.8745901584625,,,,,,,,,,,,,,,,,,,,,14.159445766223401,11.692598402642432,35.91406602624685,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1566.0,20.0,40.0,3879.0,0.1,20.20800000000002,0.0,0.0,576.9406476020813,,,,,,,,,,,,,,,,,,,,,6.204311622751187,6.7378801360594105,19.99980714958197,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,33.0,1.0,33.0,3912.0,0.1,13.807999999999993,0.0,0.0,740.6634871959686,,,,,,,,,,,,,,,,,,,,,3.7951273740686626,4.590580464055733,13.710167421330977,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,168.0,2.0,135.0,4047.0,0.1,87.606,0.0,0.0,752.7386436462402,,,,,,,,,,,,,,,,,,,,,34.718143368213745,24.10850183230351,83.08513783582495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,209.0,3.0,41.0,4088.0,0.1,20.507000000000023,0.0,0.0,756.7043890953064,,,,,,,,,,,,,,,,,,,,,6.1778144460957725,6.83594946698975,20.29427786917055,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,249.0,4.0,40.0,4128.0,0.1,18.508000000000024,0.0,0.0,760.4930303096771,,,,,,,,,,,,,,,,,,,,,5.2940340154679735,6.122782334631387,18.33288607865251,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,410.0,5.0,161.0,4289.0,0.1,99.80599999999998,0.0,0.0,774.5955765247345,,,,,,,,,,,,,,,,,,,,,46.374968815342534,29.842674882241685,92.52458666948222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,454.0,6.0,44.0,4333.0,0.1,13.606999999999989,0.0,0.0,779.0723249912262,,,,,,,,,,,,,,,,,,,,,3.302593328408939,3.9969799693002686,13.48864970430892,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,495.0,7.0,41.0,4374.0,0.1,11.106999999999989,0.0,0.0,783.0129644870758,,,,,,,,,,,,,,,,,,,,,2.642406398010395,3.1817389112712533,11.020691700390659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,526.0,8.0,31.0,4405.0,0.1,15.205999999999994,0.0,0.0,786.0181102752686,,,,,,,,,,,,,,,,,,,,,4.66911595419894,5.198148029437223,15.091425164323317,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,610.0,9.0,84.0,4489.0,0.1,30.00600000000007,0.0,0.0,793.597660779953,,,,,,,,,,,,,,,,,,,,,10.146789582671403,7.293436066179215,29.212064592175373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,714.0,10.0,104.0,4593.0,0.1,70.90699999999998,0.0,0.0,802.8797028064728,,,,,,,,,,,,,,,,,,,,,27.303711599064396,22.37390819441272,68.2037532965371,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,804.0,11.0,90.0,4683.0,0.1,52.108999999999995,0.0,0.0,811.2040948867798,,,,,,,,,,,,,,,,,,,,,20.095127179829696,15.931226166343489,50.40119053369218,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,832.0,12.0,28.0,4711.0,0.1,15.005999999999995,0.0,0.0,814.0906341075897,,,,,,,,,,,,,,,,,,,,,4.907961269201758,5.269526373383515,14.898358903911271,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1007.0,13.0,175.0,4886.0,0.1,139.30799999999996,0.0,0.0,829.4708564281464,,,,,,,,,,,,,,,,,,,,,58.05134424340345,40.23490505284892,129.40770075120605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1060.0,14.0,53.0,4939.0,0.1,27.61200000000003,0.0,0.0,834.5603914260864,,,,,,,,,,,,,,,,,,,,,8.112112208274214,9.23381651220166,27.23650382410586,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1172.0,15.0,112.0,5051.0,0.1,84.40599999999998,0.0,0.0,844.5803716182709,,,,,,,,,,,,,,,,,,,,,35.96969226567959,25.58676778121054,80.53839070927171,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1228.0,16.0,56.0,5107.0,0.1,39.306,0.0,0.0,849.9750733375549,,,,,,,,,,,,,,,,,,,,,14.792610793984313,13.13087307320612,38.554684610072414,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1326.0,17.0,98.0,5205.0,0.1,61.907000000000004,0.0,0.0,858.7182474136353,,,,,,,,,,,,,,,,,,,,,23.59084571843894,18.824111389570554,59.71446633780225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1452.0,18.0,126.0,5331.0,0.1,78.40599999999995,0.0,0.0,869.8358330726624,,,,,,,,,,,,,,,,,,,,,34.109716941991806,23.186711905099994,74.25661463797034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1538.0,19.0,86.0,5417.0,0.1,53.50500000000001,0.0,0.0,877.9477651119232,,,,,,,,,,,,,,,,,,,,,21.214302948592184,16.397686549742385,51.78408633500476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
